Weight,PA,OAT,GroundRoll,at 50 ft AGL
630,0,-25,157,265
630,0,0,198,331
630,0,25,244,406
630,0,50,296,490
630,1000,-25,172,289
630,1000,0,216,361
630,1000,25,267,442
630,1000,50,323,533
630,2000,-25,187,314
630,2000,0,236,392
630,2000,25,291,481
630,2000,50,353,580
630,3000,-25,205,342
630,3000,0,258,427
630,3000,25,318,524
630,3000,50,386,631
630,4000,-25,224,373
630,4000,0,281,466
630,4000,25,347,571
630,4000,50,421,688
630,5000,-25,244,406
630,5000,0,308,508
630,5000,25,380,622
630,5000,50,461,750
630,6000,-25,268,443
630,6000,0,337,554
630,6000,25,416,679
630,6000,50,504,819
630,7000,-25,293,484
630,7000,0,369,605
630,7000,25,455,741
630,7000,50,552,894
630,8000,-25,321,529
630,8000,0,404,661
630,8000,25,499,810
630,8000,50,605,977
630,9000,-25,352,578
630,9000,0,443,722
630,9000,25,547,885
630,9000,50,663,1068
630,10000,-25,386,632
630,10000,0,486,790
630,10000,25,600,969
630,10000,50,728,1168
